"","district","postcode","n","per_of_district","per_of_postcode"
"1","ALBURY","2640",25595,44.8390035387688,100
"2","ALBURY","2641",10404,18.2264111278512,100
"3","ALBURY","2646",5588,9.78942573841141,99.1307433031754
"4","ALBURY","2642",2983,5.22581549350058,89.7953040337146
"5","ALBURY","2647",2763,4.8404050313584,99.7472924187726
"6","ALBURY","2643",2040,3.57380610350023,100
"7","ALBURY","2644",1885,3.30226691426369,100
"8","ALBURY","2653",1733,3.03598332223818,100
"9","ALBURY","2660",1038,1.81843663501629,100
"10","ALBURY","2658",936,1.63974632984128,80.0684345594525
"11","ALBURY","2659",582,1.01958585893977,99.4871794871795
"12","ALBURY","2652",443,0.776076521495393,10.3698501872659
"13","ALBURY","2645",423,0.741039206755194,98.1438515081206
"14","ALBURY","2700",221,0.387162327879191,5.80814717477004
"15","ALBURY","3691",173,0.303072772502715,100
"16","ALBURY","2650",114,0.19971269401913,0.303328632626453
"17","ALBURY","2629",102,0.178690305175011,11.8881118881119
"18","ALBURY","3707",29,0.0508041063732875,100
"19","ALBURY","2649",25,0.0437966434252479,83.3333333333333
"20","ALBURY","2656",5,0.00875932868504958,0.317662007623888
"21","AUBURN","2144",16978,35.8374670184697,100
"22","AUBURN","2141",13153,27.7635883905013,85.1602460343153
"23","AUBURN","2162",5940,12.5382585751979,69.2307692307692
"24","AUBURN","2199",4886,10.3134564643799,57.726843100189
"25","AUBURN","2143",4411,9.31081794195251,100
"26","AUBURN","2197",1814,3.82902374670185,44.7790668970624
"27","AUBURN","2200",187,0.394722955145119,0.630223779994608
"28","AUBURN","2135",6,0.012664907651715,0.0439624853458382
"29","BADGERYS CREEK","2745",12801,33.782856539639,98.9411037254599
"30","BADGERYS CREEK","2759",9648,25.461838910588,100
"31","BADGERYS CREEK","2570",9159,24.1713290404307,32.1390974805249
"32","BADGERYS CREEK","2178",1547,4.0826559695978,67.43679163034
"33","BADGERYS CREEK","2175",1358,3.58386994616278,99.9264164827079
"34","BADGERYS CREEK","2557",1071,2.82645413279848,11.4069655980403
"35","BADGERYS CREEK","2556",1014,2.67602660192125,100
